,model,train_accuracy,test_accuracy,cross_score,MAE_train,MAE_test,R2_train,R2_test
0,Linear regression,61.25511913966951,57.57877060324509,0.6112619726475517,52862.835965819344,53320.01304956565,0.6125511913966951,0.5757877060324509
0,Ridge,61.255112186345585,57.58157428913682,0.6112621577392718,52862.42523099353,53319.31195789733,0.6125511218634558,0.5758157428913682
0,Lasso,61.25511872174354,57.57989317225589,0.6112627441546772,52862.87966140762,53319.924478374385,0.6125511872174354,0.5757989317225589
0,GradientBoostingRegressor,80.48978817773167,77.56433164710084,0.7885460819627901,35663.26593955597,37165.044848436766,0.8048978817773167,0.7756433164710084
0,RandomForestRegressor,97.34117028012359,80.65012718953511,0.8085208523734332,12200.036858042633,32617.800859980616,0.9734117028012359,0.8065012718953511
0,XGBRegressor,94.21370168354446,83.01926809012832,0.8327481620741709,19668.040830745253,31051.47406904827,0.9421370168354446,0.8301926809012832
0,LGBMRegressor,88.36058327641567,83.86101247626382,0.8365717321819964,27126.616593819548,30545.8206458976,0.8836058327641567,0.8386101247626382
